A000160,A000262,B000039,B000089,B000253,B000289,B000331,B000519,B000524,B000630,B000936,B000968,B001130,B001184,C000051,C000064,C000065,C000171,C000299,C000576,C000601,C000681,D000097,D000103,D000148,E000028,E000056,F000020,F000095,G000065,G000313,G000492,G000505,H000121,H000141,H000243,H000527,H000587,H000603,H000654,H000822,I000012,J000191,J000204,J000214,J000237,K000069,K000133,K000242,L000030,L000403,M000265,M000412,M000570,M000593,M000954,M000969,P000010,P000203,P000382,P000389,P000557,P000561,R000050,R000062,R000411,S000072,S000076,S000292,S000476,T000116,T000251,V000021,V000091,V000116,W000057,W000084,W000435,W000522,W000629,W000659,date,isAmendment,requires,result,title
Not Voting,Yea,Yea,Yea,Not Voting,Nay,,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Not Voting,,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Nay,1880-12-09,0,,unknown,s742
Nay,Not Voting,Yea,Nay,Yea,Yea,,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Nay,,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Yea,,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,,Yea,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,1880-12-13,0,,unknown,
Not Voting,Not Voting,Nay,Yea,Nay,Nay,,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,,Nay,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,1880-12-13,0,,unknown,s1139
Nay,Not Voting,Yea,Nay,Yea,Yea,,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Nay,,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Not Voting,,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Not Voting,,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,1880-12-14,0,,unknown,s1139
Nay,Not Voting,Yea,Nay,Yea,Yea,,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Nay,,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Not Voting,,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,1880-12-14,0,,unknown,s1139
Nay,Not Voting,Yea,Nay,Yea,Yea,,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Nay,,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Not Voting,,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,1880-12-14,0,,unknown,s1139
Nay,Not Voting,Yea,Nay,Yea,Yea,,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Nay,,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Not Voting,,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Not Voting,,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,1880-12-14,0,,unknown,s1139
Yea,Yea,Nay,Yea,Not Voting,Nay,,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Not Voting,,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,1880-12-17,0,,unknown,
Nay,Nay,Nay,Nay,Not Voting,Yea,,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Yea,,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Yea,1880-12-17,0,,unknown,s133
Nay,Nay,Nay,Nay,Not Voting,Yea,,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,1880-12-17,0,,unknown,s133
