A000079,A000160,A000172,A000262,B000253,B000595,B000638,B000674,B000963,B001021,C000027,C000068,C000171,C000236,C000299,C000498,C000681,C000701,C000751,C000852,C000952,D000103,D000242,D000441,E000028,E000056,F000077,F000094,F000095,F000186,F000369,G000171,G000266,G000313,H000016,H000115,H000118,H000121,H000307,H000648,H000856,I000012,J000191,J000237,K000074,L000285,L000403,M000385,M000659,M000818,M000969,M000970,M001020,N000160,O000048,P000123,P000172,P000497,R000026,R000062,R000327,S000065,S000072,S000151,S000177,S000346,S000723,S000747,S000894,S000922,S000939,S001068,T000251,T000286,W000009,W000174,W000303,W000629,W000759,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,,Nay,Nay,Yea,,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,,Yea,Yea,Yea,1873-03-07,0,,unknown,,,,,unknown
Nay,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Yea,Yea,Nay,,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,,Yea,Yea,Nay,,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,,Nay,Nay,Not Voting,1873-03-07,0,,unknown,,,,,unknown
Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Nay,,Yea,Yea,Nay,,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,,Yea,Yea,Nay,,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,,Nay,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,,Nay,Nay,Nay,1873-03-07,0,,unknown,,,,,unknown
Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Not Voting,Not Voting,Yea,,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,,Nay,Nay,Not Voting,,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,,Not Voting,Not Voting,Yea,1873-03-11,0,,unknown,,,,,unknown
Not Voting,Yea,Not Voting,Yea,Nay,Nay,Not Voting,,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,,Nay,Nay,Yea,,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,,Nay,Nay,Yea,,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,,Yea,Not Voting,Yea,1873-03-13,0,,unknown,,,,,unknown
Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,,Yea,Yea,Nay,,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,,Yea,Nay,Nay,,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,,Not Voting,Not Voting,Nay,1873-03-13,0,,unknown,,,,,unknown
Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,,Yea,Yea,Nay,,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,,Yea,Nay,Not Voting,,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Nay,,Not Voting,Yea,Nay,1873-03-14,0,,unknown,,,,,unknown
Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Not Voting,,Nay,Nay,Not Voting,,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Nay,,Nay,Nay,Not Voting,,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,,Nay,Yea,Yea,1873-03-19,0,,unknown,,,,,unknown
Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,,Not Voting,Not Voting,Nay,,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Not Voting,,Nay,Not Voting,Not Voting,,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,,Nay,Not Voting,Yea,1873-03-22,0,,unknown,,,,,unknown
Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Yea,,Nay,Not Voting,Nay,,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,,Nay,Not Voting,Not Voting,,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,,Nay,Not Voting,Yea,1873-03-24,0,,unknown,,,,,unknown
